Symbol,Chart Pattern,BullishBearish,Start,End,Industry
NBR,Pipe bottom,1,11/29/2021,12/06/2021,Oilfield Svcs/Equipment
NFG,Three Rising Valleys,1,11/04/2021,12/20/2021,Natural Gas (Diversified)
NOV,Ugly double bottom,1,12/02/2021,12/20/2021,Oilfield Svcs/Equipment
NTGR,Rising wedge,-1,11/15/2021,01/06/2022,Telecom. Equipment
NWL,"Double Bottom, Adam and Adam",1,12/01/2021,12/20/2021,Household Products
NWPX,Pipe bottom,1,12/13/2021,12/20/2021,Building Materials
OXY,Pipe bottom,1,12/13/2021,12/20/2021,Petroleum (Producing)
OMC,Ugly double bottom,1,11/26/2021,12/20/2021,Advertising
OUT,Pipe bottom,1,12/13/2021,12/20/2021,Advertising
OMI,"Double Bottom, Eve and Eve",1,12/02/2021,12/14/2021,Medical Supplies
OXM,Pipe bottom,1,12/13/2021,12/20/2021,Apparel
PANW,Three Rising Valleys,1,10/04/2021,12/06/2021,Computer Software and Svcs
PATK,"Double Bottom, Adam and Adam",1,12/13/2021,12/20/2021,Retail Building Supply
PTEN,Ugly double bottom,1,12/02/2021,12/20/2021,Oilfield Svcs/Equipment
PNW,"Triangle, ascending",1,10/20/2021,12/22/2021,Electric Utility (West)
PPL,Rising wedge,-1,11/10/2021,01/06/2022,Electric Utility (East)
PRU,"Double Bottom, Eve and Adam",1,12/01/2021,12/20/2021,Insurance (Life)
DGX,"Double Top, Eve and Eve",-1,12/17/2021,12/31/2021,Medical Services
RGA,Pipe bottom,1,11/22/2021,11/29/2021,Insurance (Life)
RLI,Diamond top,-1,11/03/2021,01/03/2022,Insurance (Prop/Casualty)
RCKY,"Double Bottom, Eve and Adam",1,12/02/2021,12/20/2021,Shoe
ROST,Pipe bottom,1,12/13/2021,12/20/2021,Retail (Special Lines)
RES,Ugly double bottom,1,12/02/2021,12/20/2021,Oilfield Svcs/Equipment
SCCO,"Double Bottom, Eve and Eve",1,11/26/2021,12/20/2021,Metals and Mining (Div.)
LUV,Pipe bottom,1,12/13/2021,12/20/2021,Air Transport
SXI,Pipe bottom,1,12/13/2021,12/20/2021,Diversified Co.
SUM,"Double Bottom, Eve and Adam",1,12/01/2021,12/20/2021,Cement and Aggregates
SRDX,Big W,1,12/02/2021,12/17/2021,Medical Supplies
TDOC,"Triangle, descending",-1,12/06/2021,01/04/2022,Healthcare Information
TFX,Ugly double bottom,1,12/01/2021,12/20/2021,Diversified Co.
TPX,Head-and-shoulders complex bottom,1,10/28/2021,12/20/2021,Furn/Home Furnishings
TDC,"Triangle, symmetrical",1,11/29/2021,12/17/2021,Computer Software and Svcs
TKR,Pipe bottom,1,12/13/2021,12/20/2021,Metal Fabricating
RIG,Triple bottom,1,12/06/2021,12/31/2021,Oilfield Svcs/Equipment
UGI,Ugly double bottom,1,11/30/2021,12/20/2021,Natural Gas (Distributor)
UNM,Big W,1,12/01/2021,12/20/2021,Insurance (Diversified)
VLO,Pipe bottom,1,12/13/2021,12/20/2021,Petroleum (Integrated)
VC,Pipe bottom,1,12/13/2021,12/20/2021,Electronics
WERN,"Double Bottom, Adam and Adam",1,12/02/2021,12/20/2021,Trucking/Transp. Leasing
WLK,"Double Bottom, Adam and Eve",1,12/02/2021,12/20/2021,Chemical (Basic)
WEX,"Double Bottom, Eve and Eve",1,12/01/2021,12/15/2021,Information Services
ANF,"Double Top, Adam and Adam",-1,02/10/2022,02/16/2022,Apparel
ACN,Pipe top,-1,01/31/2022,02/07/2022,IT Services
AEO,"Double Top, Adam and Adam",-1,01/26/2022,02/10/2022,Apparel
AEL,"Double Top, Eve and Adam",-1,01/14/2022,02/11/2022,Insurance (Life)
APH,Triple top,-1,01/26/2022,02/09/2022,Electronics
ADSK,"Double Top, Adam and Adam",-1,02/02/2022,02/09/2022,Computer Software and Svcs
BMRN,Pipe top,-1,02/07/2022,02/14/2022,Biotechnology
BA,Pipe top,-1,02/07/2022,02/14/2022,Aerospace/Defense
CE,"Double Top, Eve and Adam",-1,02/03/2022,02/10/2022,Chemical (Basic)
CMCO,"Triangle, symmetrical",1,02/04/2022,02/23/2022,Machinery
DECK,Horn top,-1,01/31/2022,02/14/2022,Shoe
DVN,Pipe bottom,1,01/18/2022,01/24/2022,Natural Gas (Diversified)
D,Head-and-shoulders top,-1,01/21/2022,02/22/2022,Electric Utility (East)
FICO,Pipe top,-1,02/07/2022,02/14/2022,IT Services
FIVN,Pipe top,-1,02/07/2022,02/14/2022,Computer Software and Svcs
FMC,"Double Top, Eve and Eve",-1,02/10/2022,02/18/2022,Chemical (Basic)
FDP,"Double Top, Eve and Eve",-1,01/10/2022,02/17/2022,Food Processing
GPN,Triple top,-1,01/06/2022,02/10/2022,Computer Software and Svcs
GOOGL,Pipe top,-1,01/31/2022,02/07/2022,Internet
HSC,Dead-cat bounce,-1,02/24/2022,02/24/2022,Diversified Co.
IPAR,"Double Top, Eve and Adam",-1,02/01/2022,02/09/2022,Toiletries/Cosmetics
KSS,Horn top,-1,01/24/2022,02/07/2022,Retail Store
M,Triple top,-1,01/25/2022,02/22/2022,Retail Store
MLM,Head-and-shoulders top,-1,02/01/2022,02/17/2022,Cement and Aggregates
NTAP,"Double Top, Adam and Eve",-1,02/09/2022,02/18/2022,Computers and Peripherals
PEG,"Double Top, Eve and Eve",-1,01/07/2022,02/09/2022,Electric Utility (East)
QCOM,Pipe top,-1,01/31/2022,02/07/2022,Telecom. Equipment
RHI,Pipe top,-1,02/07/2022,02/14/2022,Human Resources
RCKY,Horn top,-1,01/24/2022,02/07/2022,Shoe
SCHW,"Double Top, Adam and Adam",-1,01/14/2022,02/09/2022,Securities Brokerage
SUM,Broadening bottom,1,01/28/2022,02/16/2022,Cement and Aggregates
TPX,Dead-cat bounce,-1,02/22/2022,02/22/2022,Furn/Home Furnishings
TEVA,"Double Top, Eve and Adam",-1,01/14/2022,02/09/2022,Drug
VMC,Triple top,-1,02/01/2022,02/17/2022,Cement and Aggregates
XEL,"Double Top, Eve and Eve",-1,01/10/2022,02/03/2022,Electric Utility (West)
ABT,Pipe top,-1,01/31/2022,02/07/2022,Medical Supplies
ACN,"Double Top, Adam and Adam",-1,02/02/2022,02/09/2022,IT Services
AKAM,"Double Top, Eve and Eve",-1,01/19/2022,02/02/2022,E-Commerce
ALRM,"Triangle, symmetrical",1,01/28/2022,02/17/2022,Computer Software and Svcs
ALB,Dead-cat bounce,-1,02/17/2022,02/17/2022,Chemical (Diversified)
AA,"Scallop, ascending and inverted",1,12/03/2021,01/31/2022,Aerospace/Defense
AYX,"Triangle, symmetrical",1,01/19/2022,02/15/2022,Computer Software and Svcs
APA,Head-and-shoulders top,-1,01/27/2022,02/10/2022,Petroleum (Producing)
APOG,"Double Bottom, Adam and Adam",1,01/28/2022,02/04/2022,Building Materials
AVNT,"Double Bottom, Adam and Adam",1,01/28/2022,02/07/2022,Chemical (Specialty)
BBBY,Three Falling Peaks,-1,02/01/2022,02/16/2022,Retail (Special Lines)
BBY,"Triangle, symmetrical",1,01/19/2022,02/08/2022,Retail (Special Lines)
BIIB,Falling wedge,1,01/12/2022,02/17/2022,Biotechnology
BKH,Head-and-shoulders bottom,1,01/24/2022,02/14/2022,Electric Utility (West)
BBW,"Roof, inverted",-1,01/18/2022,02/04/2022,Retail (Special Lines)
CDNS,"Double Top, Adam and Adam",-1,02/02/2022,02/09/2022,Computer Software and Svcs
CRL,Pipe top,-1,01/31/2022,02/07/2022,Biotechnology
CHS,Triple bottom,1,01/21/2022,02/04/2022,Apparel
CMTL,"Double Bottom, Adam and Adam",1,01/28/2022,02/07/2022,Telecom. Equipment
ED,Broadening top,-1,12/16/2021,02/03/2022,Electric Utility (East)
CONN,"Triangle, symmetrical",1,02/01/2022,02/17/2022,Retail (Special Lines)
CR,Diamond top,-1,02/01/2022,02/17/2022,Diversified Co.
CRH,"Double Top, Adam and Adam",-1,02/02/2022,02/10/2022,Cement and Aggregates
DHR,"Double Top, Adam and Adam",-1,02/02/2022,02/09/2022,Precision Instrument
DFS,"Double Bottom, Adam and Adam",1,01/24/2022,01/28/2022,Financial Services
^DJI,"Double Top, Adam and Adam",-1,02/02/2022,02/09/2022,None
FE,Broadening top,-1,01/05/2022,02/14/2022,Electric Utility (East)
GPS,Head-and-shoulders top,-1,01/27/2022,02/10/2022,Apparel
GE,Pipe bottom,1,01/24/2022,01/31/2022,Diversified Co.
GPRO,"Triangle, symmetrical",1,01/28/2022,02/16/2022,Electronics
HBI,Head-and-shoulders top,-1,01/26/2022,02/10/2022,Apparel
HSIC,"Double Bottom, Adam and Adam",1,12/20/2021,01/25/2022,Medical Supplies
HNI,Triple bottom,1,01/24/2022,02/07/2022,Furn/Home Furnishings
HUBG,"Double Bottom, Adam and Adam",1,01/28/2022,02/04/2022,Trucking/Transp. Leasing
IBP,"Triangle, symmetrical",1,02/01/2022,02/17/2022,Retail Building Supply
INTU,Pipe top,-1,01/31/2022,02/07/2022,Computer Software and Svcs
KALU,"Double Bottom, Adam and Eve",1,01/28/2022,02/04/2022,Metals and Mining (Div.)
KLIC,"Roof, inverted",-1,01/21/2022,02/17/2022,Semiconductor Cap Equip.
LZB,Dead-cat bounce,-1,02/16/2022,02/16/2022,Furn/Home Furnishings
LEG,"Triangle, symmetrical",1,01/26/2022,02/17/2022,Furn/Home Furnishings
LOW,Falling wedge,1,02/02/2022,02/17/2022,Retail Building Supply
MTSI,"Triangle, symmetrical",1,01/28/2022,02/17/2022,Semiconductor
MANH,"Triangle, symmetrical",1,01/24/2022,02/17/2022,IT Services
MTRN,"Double Bottom, Adam and Eve",1,01/28/2022,02/07/2022,Metals and Mining (Div.)
MUR,"Triangle, symmetrical",1,02/07/2022,02/17/2022,Petroleum (Integrated)
^IXIC,"Double Top, Adam and Adam",-1,02/02/2022,02/10/2022,None
NWL,Pipe bottom,1,01/31/2022,02/07/2022,Household Products
OGE,Triple top,-1,12/31/2021,02/04/2022,Electric Utility (Central)
PDCO,Triple bottom,1,01/25/2022,02/14/2022,Medical Supplies
PETS,Ugly double bottom,1,01/24/2022,02/04/2022,Medical Services
PNW,Head-and-shoulders complex top,-1,12/31/2021,02/08/2022,Electric Utility (West)
POR,Head-and-shoulders complex top,-1,12/16/2021,02/03/2022,Electric Utility (West)
PGR,Diamond top,-1,01/10/2022,02/08/2022,Insurance (Prop/Casualty)
KWR,Triple bottom,1,01/28/2022,02/11/2022,Chemical (Specialty)
RES,"Flag, high and tight",1,12/20/2021,02/16/2022,Oilfield Svcs/Equipment
^GSPC,"Double Top, Adam and Adam",-1,02/02/2022,02/09/2022,None
SO,"Double Top, Eve and Eve",-1,01/10/2022,01/31/2022,Electric Utility (East)
LUV,Head-and-shoulders bottom,1,01/24/2022,02/04/2022,Air Transport
SR,"Triangle, symmetrical",1,01/19/2022,02/17/2022,Natural Gas (Distributor)
TPR,Head-and-shoulders bottom,1,01/10/2022,02/04/2022,Apparel
TMO,Pipe top,-1,01/31/2022,02/07/2022,Precision Instrument
TKR,"Double Bottom, Adam and Adam",1,01/28/2022,02/07/2022,Metal Fabricating
TZOO,Ugly double bottom,1,01/21/2022,02/04/2022,Internet
SLCA,Triple bottom,1,01/24/2022,02/08/2022,Metals and Mining (Div.)
VEEV,"Double Top, Eve and Eve",-1,02/02/2022,02/10/2022,Healthcare Information
VRSN,"Double Top, Adam and Adam",-1,02/02/2022,02/11/2022,Internet
VC,Triple bottom,1,01/28/2022,02/11/2022,Electronics
WAT,Pipe top,-1,02/01/2022,02/09/2022,Precision Instrument
ADTN,Pipe bottom,1,01/18/2022,01/24/2022,Telecom. Equipment
ATSG,Head-and-shoulders bottom,1,01/24/2022,02/04/2022,Air Transport
ADS,Pipe bottom,1,01/18/2022,01/24/2022,Information Services
DOX,Ugly double bottom,1,12/02/2021,01/24/2022,IT Services
AXP,Triple bottom,1,12/01/2021,01/24/2022,Financial Services
AMGN,"Double Bottom, Eve and Adam",1,01/24/2022,02/07/2022,Biotechnology
ACGL,Three Rising Valleys,1,11/30/2021,01/24/2022,Insurance (Prop/Casualty)
AIZ,"Double Bottom, Adam and Adam",1,12/20/2021,01/24/2022,Insurance (Diversified)
AGO,Ugly double bottom,1,12/20/2021,01/24/2022,Insurance (Life)
BA,Pipe bottom,1,01/24/2022,01/31/2022,Aerospace/Defense
BBW,Pipe bottom,1,01/18/2022,01/24/2022,Retail (Special Lines)
CALM,Pipe bottom,1,01/24/2022,01/31/2022,Food Processing
CENX,Pipe bottom,1,01/24/2022,01/31/2022,Metals and Mining (Div.)
CINF,Multi-peaks,0,04/30/2021,02/10/2022,Insurance (Prop/Casualty)
CLNE,Pipe bottom,1,01/18/2022,01/24/2022,Natural Gas (Distributor)
CW,"Double Bottom, Adam and Adam",1,01/28/2022,02/04/2022,Machinery
XRAY,"Double Bottom, Adam and Eve",1,01/25/2022,02/04/2022,Medical Supplies
^DJT,"Triangle, symmetrical",1,01/20/2022,02/10/2022,None
EXP,"Triangle, symmetrical",1,01/24/2022,02/10/2022,Cement and Aggregates
WIRE,Pipe bottom,1,01/24/2022,01/31/2022,Metals and Mining (Div.)
FLS,"Triangle, symmetrical",1,01/18/2022,02/07/2022,Machinery
FMC,Diamond top,-1,12/28/2021,02/08/2022,Chemical (Basic)
FCX,Pipe bottom,1,01/24/2022,01/31/2022,Metals and Mining (Div.)
GD,Three Rising Valleys,1,11/30/2021,01/24/2022,Aerospace/Defense
GNW,Pipe bottom,1,01/24/2022,01/31/2022,Insurance (Life)
GES,Pipe bottom,1,01/18/2022,01/24/2022,Apparel
HAYN,Pipe bottom,1,01/24/2022,01/31/2022,Building Materials
HL,Pipe bottom,1,01/24/2022,01/31/2022,Metals and Mining (Div.)
ILMN,Pipe bottom,1,01/24/2022,01/31/2022,Biotechnology
INCY,Head-and-shoulders top,-1,12/30/2021,02/01/2022,Drug
INFN,Head-and-shoulders bottom,1,01/21/2022,02/04/2022,Telecom. Equipment
IPAR,Head-and-shoulders bottom,1,01/18/2022,01/24/2022,Toiletries/Cosmetics
JBLU,"Double Bottom, Eve and Adam",1,12/01/2021,01/24/2022,Air Transport
KLAC,Broadening top,-1,11/08/2021,01/24/2022,Semiconductor Cap Equip.
MNDT,Pipe bottom,1,01/24/2022,01/31/2022,Computer Software and Svcs
MRK,"Double Top, Eve and Eve",-1,01/11/2022,02/02/2022,Drug
MU,Pipe bottom,1,01/24/2022,01/31/2022,Semiconductor
MLI,Pipe bottom,1,01/24/2022,01/31/2022,Metal Fabricating
JWN,Pipe bottom,1,01/18/2022,01/24/2022,Retail Store
ORI,Pipe bottom,1,01/18/2022,01/24/2022,Insurance (Prop/Casualty)
PAYX,Pipe bottom,1,01/24/2022,01/31/2022,IT Services
RES,Pipe bottom,1,01/18/2022,01/24/2022,Oilfield Svcs/Equipment
SAIA,Diamond bottom,1,01/10/2022,02/10/2022,Trucking/Transp. Leasing
SCHW,Pipe bottom,1,01/24/2022,01/31/2022,Securities Brokerage
SEE,Head-and-shoulders top,-1,01/05/2022,02/01/2022,Packaging and Container
SKX,"Double Bottom, Adam and Adam",1,12/20/2021,01/28/2022,Shoe
SCCO,Head-and-shoulders bottom,1,01/25/2022,02/04/2022,Metals and Mining (Div.)
LUV,Ugly double bottom,1,12/20/2021,01/28/2022,Air Transport
SXI,Pipe bottom,1,01/24/2022,01/31/2022,Diversified Co.
TFX,Pipe bottom,1,01/24/2022,01/31/2022,Diversified Co.
UGI,"Double Top, Adam and Adam",-1,01/05/2022,01/19/2022,Natural Gas (Distributor)
UPS,"Double Bottom, Adam and Adam",1,12/02/2021,01/28/2022,Air Transport
UNM,Pipe bottom,1,01/24/2022,01/31/2022,Insurance (Diversified)
WERN,Multi-peaks,0,05/18/2021,02/10/2022,Trucking/Transp. Leasing
WLK,Pipe bottom,1,01/24/2022,01/31/2022,Chemical (Basic)
WOLF,Pipe bottom,1,01/24/2022,01/31/2022,Semiconductor
AEL,Pipe top,-1,01/10/2022,01/18/2022,Insurance (Life)
AAPL,Pipe bottom,1,01/18/2022,01/24/2022,Computers and Peripherals
BMI,Pipe bottom,1,01/18/2022,01/24/2022,Precision Instrument
BBBY,"Double Bottom, Adam and Adam",1,01/11/2022,01/21/2022,Retail (Special Lines)
BOOT,Three Falling Peaks,-1,11/18/2021,12/30/2021,Shoe
CNC,"Double Bottom, Eve and Eve",1,01/06/2022,01/26/2022,Medical Services
EXC,Dead-cat bounce,-1,02/02/2022,02/02/2022,Electric Utility (East)
EZPW,"Double Bottom, Adam and Eve",1,01/13/2022,01/28/2022,Financial Services
HD,Pipe bottom,1,01/18/2022,01/24/2022,Retail Building Supply
KSS,Pipe bottom,1,12/13/2021,12/20/2021,Retail Store
LZB,Pipe bottom,1,01/24/2022,01/24/2022,Furn/Home Furnishings
FB,Dead-cat bounce,-1,02/03/2022,02/03/2022,E-Commerce
MLKN,"Triangle, symmetrical",1,12/08/2021,02/03/2022,Furn/Home Furnishings
MS,Pipe bottom,1,01/18/2022,01/24/2022,Securities Brokerage
ORI,Head-and-shoulders bottom,1,12/01/2021,01/24/2022,Insurance (Prop/Casualty)
PTEN,"Roof, inverted",-1,01/11/2022,02/03/2022,Oilfield Svcs/Equipment
PYPL,Dead-cat bounce,-1,02/02/2022,02/02/2022,Financial Services
PG,"Roof, inverted",-1,12/29/2021,02/03/2022,Household Products
RJF,Pipe bottom,1,01/18/2022,01/24/2022,Securities Brokerage
SCCO,Pipe top,-1,01/10/2022,01/18/2022,Metals and Mining (Div.)
SSYS,"Broadening wedge, descending",1,01/03/2022,02/02/2022,Electronics
SRDX,Dead-cat bounce,-1,02/03/2022,02/03/2022,Medical Supplies
TPR,Three Falling Peaks,-1,11/22/2021,01/05/2022,Apparel
TJX,Pipe bottom,1,01/18/2022,01/24/2022,Retail Store
SLCA,Pipe top,-1,01/10/2022,01/18/2022,Metals and Mining (Div.)
VLO,Pipe top,-1,10/18/2021,10/25/2021,Petroleum (Integrated)
WSM,Pipe bottom,1,01/18/2022,01/24/2022,Retail (Special Lines)
ADTN,Falling wedge,1,02/24/2022,03/24/2022,Telecom. Equipment
APD,"Double Bottom, Adam and Eve",1,03/08/2022,03/15/2022,Chemical (Diversified)
ALB,Triple bottom,1,02/24/2022,03/15/2022,Chemical (Diversified)
AMWD,"Double Top, Eve and Eve",-1,03/09/2022,03/21/2022,Building Materials
ANTM,Head-and-shoulders bottom,1,01/07/2022,02/24/2022,Medical Services
AAPL,Pipe bottom,1,03/07/2022,03/14/2022,Computers and Peripherals
ADM,Three Rising Valleys,1,12/01/2021,02/24/2022,Food Processing
AWI,"Double Bottom, Eve and Eve",1,02/24/2022,03/08/2022,Building Materials
CALM,Three Rising Valleys,1,12/29/2021,03/11/2022,Food Processing
CE,Head-and-shoulders bottom,1,02/24/2022,03/15/2022,Chemical (Basic)
CLS,Head-and-shoulders bottom,1,02/24/2022,03/14/2022,Electronics
CLF,"Flag, high and tight",1,01/24/2022,03/24/2022,Metals and Mining (Div.)
DHR,Horn bottom,1,02/22/2022,03/07/2022,Precision Instrument
^DJT,Pennant,1,03/17/2022,03/22/2022,None
DUK,Diamond top,-1,03/08/2022,03/22/2022,Electric Utility (East)
BOOM,Pipe bottom,1,02/28/2022,03/07/2022,Metal Fabricating
EMN,Triple bottom,1,03/08/2022,03/18/2022,Chemical (Diversified)
EIX,Ugly double bottom,1,02/24/2022,03/14/2022,Electric Utility (West)
RE,Pipe bottom,1,03/07/2022,03/14/2022,Insurance (Prop/Casualty)
EZPW,"Double Bottom, Adam and Adam",1,03/08/2022,03/14/2022,Financial Services
FFIV,"Double Bottom, Adam and Eve",1,01/26/2022,03/14/2022,Internet
FDX,Head-and-shoulders bottom,1,02/24/2022,03/14/2022,Air Transport
FIVN,Pipe bottom,1,03/07/2022,03/14/2022,Computer Software and Svcs
FORM,Triple bottom,1,02/24/2022,03/14/2022,Semiconductor
FWRD,Horn bottom,1,02/22/2022,03/07/2022,Trucking/Transp. Leasing
GME,"Flag, high and tight",1,03/14/2022,03/23/2022,Retail (Special Lines)
GOOGL,Triple bottom,1,02/24/2022,03/14/2022,Internet
HQY,"Roof, inverted",-1,02/18/2022,03/15/2022,Healthcare Information
HTLD,Head-and-shoulders bottom,1,02/04/2022,03/14/2022,Trucking/Transp. Leasing
HELE,Rectangle bottom,-1,01/27/2022,03/23/2022,Toiletries/Cosmetics
HON,V Bottom Extension,0,02/09/2022,03/14/2022,Aerospace/Defense
IDA,"Triangle, symmetrical",1,03/09/2022,03/24/2022,Electric Utility (West)
INTC,"Double Bottom, Eve and Adam",1,02/24/2022,03/15/2022,Semiconductor
KALU,Pipe bottom,1,03/07/2022,03/14/2022,Metals and Mining (Div.)
KLIC,"Double Bottom, Adam and Adam",1,02/24/2022,03/07/2022,Semiconductor Cap Equip.
LDOS,"Double Bottom, Adam and Adam",1,03/09/2022,03/16/2022,IT Services
FB,"Double Bottom, Adam and Eve",1,03/08/2022,03/15/2022,E-Commerce
MS,Pennant,1,03/18/2022,03/24/2022,Securities Brokerage
MOS,"Flag, high and tight",1,01/24/2022,03/24/2022,Chemical (Diversified)
^IXIC,Pipe bottom,1,03/07/2022,03/14/2022,None
NKE,Pipe bottom,1,03/07/2022,03/14/2022,Shoe
NVDA,Head-and-shoulders bottom,1,02/24/2022,03/14/2022,Semiconductor
ORI,"Triangle, symmetrical",1,02/16/2022,03/24/2022,Insurance (Prop/Casualty)
OXM,Ugly double bottom,1,01/31/2022,02/24/2022,Apparel
PANW,Pipe bottom,1,03/07/2022,03/14/2022,Computer Software and Svcs
PYPL,Head-and-shoulders bottom,1,02/24/2022,03/14/2022,Financial Services
PICO,Triple bottom,1,02/14/2022,03/15/2022,Diversified Co.
PNW,"Roof, inverted",-1,03/09/2022,03/24/2022,Electric Utility (West)
POR,Pennant,1,03/08/2022,03/24/2022,Electric Utility (West)
^GSPC,"Double Bottom, Adam and Adam",1,03/08/2022,03/14/2022,None
SUM,Pipe bottom,1,02/28/2022,03/07/2022,Cement and Aggregates
SNPS,"Double Bottom, Adam and Adam",1,02/24/2022,03/14/2022,Computer Software and Svcs
TECH,Pipe bottom,1,02/14/2022,02/22/2022,Biotechnology
TFX,"Double Top, Eve and Eve",-1,03/07/2022,03/21/2022,Diversified Co.
TPX,Horn bottom,1,02/22/2022,03/07/2022,Furn/Home Furnishings
TDC,Pipe bottom,1,03/07/2022,03/14/2022,Computer Software and Svcs
TEVA,"Double Bottom, Adam and Adam",1,03/07/2022,03/14/2022,Drug
TMO,Horn bottom,1,02/22/2022,03/07/2022,Precision Instrument
WAT,"Triangle, ascending",1,02/24/2022,03/15/2022,Precision Instrument
WU,Triple bottom,1,03/01/2022,03/14/2022,Financial Services
WWW,Pipe bottom,1,02/28/2022,03/07/2022,Shoe
WDAY,"Double Bottom, Adam and Eve",1,03/08/2022,03/15/2022,Computer Software and Svcs
IHI,Pipe bottom,1,02/14/2022,02/22/2022,Medical Supplies
QTEC,Pipe bottom,1,03/07/2022,03/14/2022,Electronics
MGK,Pipe bottom,1,03/07/2022,03/14/2022,None
AYI,Ugly double bottom,1,02/24/2022,03/14/2022,Furn/Home Furnishings
ATSG,"Triangle, ascending",1,03/01/2022,03/17/2022,Air Transport
AKAM,Ugly double bottom,1,02/24/2022,03/09/2022,E-Commerce
ALL,"Double Bottom, Eve and Adam",1,02/03/2022,02/24/2022,Insurance (Prop/Casualty)
AMZN,Head-and-shoulders bottom,1,02/24/2022,03/14/2022,Internet
AFG,Head-and-shoulders bottom,1,12/20/2021,02/24/2022,Insurance (Prop/Casualty)
APOG,Triple bottom,1,01/28/2022,02/24/2022,Building Materials
ARCB,Head-and-shoulders bottom,1,02/24/2022,03/14/2022,Trucking/Transp. Leasing
AGO,Three Rising Valleys,1,12/20/2021,02/24/2022,Insurance (Life)
ADP,"Double Bottom, Adam and Adam",1,01/28/2022,02/24/2022,IT Services
CENX,Pipe top,-1,02/28/2022,03/07/2022,Metals and Mining (Div.)
CNA,Horn bottom,1,02/22/2022,03/07/2022,Insurance (Prop/Casualty)
CGNX,"Double Bottom, Adam and Eve",1,01/28/2022,02/24/2022,Precision Instrument
CMTL,Dead-cat bounce,-1,03/11/2022,03/11/2022,Telecom. Equipment
CR,"Double Bottom, Eve and Eve",1,01/24/2022,02/24/2022,Diversified Co.
CROX,"Double Bottom, Adam and Adam",1,03/08/2022,03/14/2022,Shoe
DHR,"Double Bottom, Adam and Adam",1,02/24/2022,03/08/2022,Precision Instrument
DVN,Pipe top,-1,02/28/2022,03/07/2022,Natural Gas (Diversified)
DOV,Broadening top,-1,10/19/2021,02/04/2022,Machinery
WIRE,"Double Bottom, Adam and Adam",1,01/28/2022,02/17/2022,Metals and Mining (Div.)
EOG,Diamond top,-1,03/01/2022,03/17/2022,Natural Gas (Distributor)
EXPD,"Double Bottom, Adam and Adam",1,03/07/2022,03/14/2022,Air Transport
FDS,Ugly double bottom,1,02/24/2022,03/10/2022,Information Services
GFF,"Triangle, symmetrical",1,02/04/2022,03/17/2022,Building Materials
HLIT,"Double Bottom, Adam and Adam",1,03/08/2022,03/14/2022,Telecom. Equipment
HOLX,Pipe top,-1,01/31/2022,02/07/2022,Medical Supplies
IEX,"Double Bottom, Adam and Adam",1,02/24/2022,03/08/2022,Machinery
ILMN,"Double Bottom, Eve and Eve",1,02/24/2022,03/15/2022,Biotechnology
NSP,"Double Bottom, Adam and Adam",1,02/23/2022,03/08/2022,Human Resources
JNJ,"Double Bottom, Eve and Adam",1,11/30/2021,02/24/2022,Medical Supplies
KFRC,Pipe top,-1,02/22/2022,02/28/2022,Human Resources
KLIC,Horn bottom,1,02/22/2022,03/07/2022,Semiconductor Cap Equip.
LEG,"Triangle, symmetrical",1,02/24/2022,03/17/2022,Furn/Home Furnishings
LOW,Ugly double bottom,1,02/24/2022,03/10/2022,Retail Building Supply
MCHX,Ugly double bottom,1,02/22/2022,03/08/2022,Advertising
MLI,"Double Bottom, Adam and Eve",1,03/01/2022,03/14/2022,Metal Fabricating
ASGN,Horn bottom,1,02/22/2022,03/07/2022,Human Resources
OMI,Ugly double bottom,1,02/22/2022,03/14/2022,Medical Supplies
OXM,"Triangle, ascending",1,02/04/2022,03/17/2022,Apparel
PKG,Head-and-shoulders top,-1,01/31/2022,02/25/2022,Packaging and Container
PETS,Rising wedge,-1,01/24/2022,03/04/2022,Medical Services
PCG,"Double Bottom, Adam and Adam",1,02/24/2022,03/08/2022,Electric Utility (West)
PICO,Rectangle bottom,-1,10/25/2021,03/17/2022,Diversified Co.
TER,"Double Bottom, Adam and Adam",1,03/08/2022,03/14/2022,Semiconductor Cap Equip.
TXN,Triple bottom,1,02/14/2022,03/08/2022,Semiconductor
TMO,"Double Bottom, Adam and Adam",1,02/24/2022,03/08/2022,Precision Instrument
UPS,"Double Bottom, Adam and Adam",1,02/24/2022,03/08/2022,Air Transport
UNM,Pipe top,-1,02/07/2022,02/14/2022,Insurance (Diversified)
VMI,"Double Bottom, Adam and Eve",1,01/28/2022,02/24/2022,Metal Fabricating
VC,"Double Bottom, Adam and Adam",1,03/08/2022,03/15/2022,Electronics
WEX,"Double Bottom, Adam and Eve",1,02/24/2022,03/08/2022,Information Services
WSM,Ugly double bottom,1,02/24/2022,03/08/2022,Retail (Special Lines)
AJRD,Broadening bottom,1,01/25/2022,03/07/2022,Diversified Co.
AES,Pipe bottom,1,02/22/2022,02/28/2022,Electric Utility (East)
ATSG,Pennant,1,03/03/2022,03/10/2022,Air Transport
AIG,"Double Top, Eve and Eve",-1,02/09/2022,02/25/2022,Insurance (Prop/Casualty)
AON,"Roof, inverted",-1,02/04/2022,03/10/2022,Insurance (Diversified)
ATR,"Double Top, Eve and Adam",-1,01/05/2022,03/01/2022,Packaging and Container
BBBY,Triple bottom,1,01/11/2022,02/24/2022,Retail (Special Lines)
