Symbol,Chart Pattern,BullishBearish,Start,End,Industry
CREE,"Triangle, symmetrical",1,01/06/2020,02/21/2020,Semiconductor
CROX,Dead-cat bounce,-1,02/27/2020,02/27/2020,Shoe
DECK,Pipe top,-1,02/10/2020,02/18/2020,Shoe
DTE,"Double Top, Adam and Eve",-1,02/06/2020,02/21/2020,Electric Utility (Central)
EBAY,"Double Top, Eve and Eve",-1,02/04/2020,02/21/2020,Internet
EIX,Head-and-shoulders top,-1,01/22/2020,02/21/2020,Electric Utility (West)
EVH,"Double Top, Eve and Eve",-1,01/17/2020,02/21/2020,Healthcare Information
FIS,Pipe top,-1,02/10/2020,02/18/2020,Computer Software and Svcs
FLIR,Dead-cat bounce,-1,02/27/2020,02/27/2020,Aerospace/Defense
HBI,"Triangle, symmetrical",1,02/03/2020,02/21/2020,Apparel
HSC,Dead-cat bounce,-1,02/26/2020,02/27/2020,Diversified Co.
INFN,Triple top,-1,01/02/2020,02/21/2020,Telecom. Equipment
IBP,"Double Top, Adam and Adam",-1,01/24/2020,02/21/2020,Retail Building Supply
NVTA,Pipe top,-1,02/10/2020,02/18/2020,Medical Services
PLXS,Pipe top,-1,02/10/2020,02/18/2020,Electronics
PG,"Double Top, Adam and Adam",-1,02/06/2020,02/21/2020,Household Products
SNPS,Pipe top,-1,02/10/2020,02/18/2020,Computer Software and Svcs
AMTD,Broadening bottom,1,12/20/2019,02/21/2020,Securities Brokerage
VAL,Dead-cat bounce,-1,02/21/2020,02/24/2020,Oilfield Svcs/Equipment
ABT,"Triangle, symmetrical",1,01/29/2020,02/20/2020,Medical Supplies
AEO,Rectangle bottom,-1,12/11/2019,02/20/2020,Apparel
ARCB,Flag,1,02/13/2020,02/20/2020,Trucking/Transp. Leasing
ASNA,"Double Bottom, Eve and Adam",1,02/06/2020,02/18/2020,Apparel
CBT,"Triangle, symmetrical",1,02/04/2020,02/20/2020,Chemical (Diversified)
CAL,Dead-cat bounce,-1,02/14/2020,02/14/2020,Shoe
CNP,Triple top,-1,01/02/2020,02/14/2020,Electric Utility (Central)
CSCO,Broadening top,-1,12/20/2019,02/20/2020,Computers and Peripherals
MTRN,Pipe top,-1,02/03/2020,02/10/2020,Metals and Mining (Div.)
STMP,"Flag, high and tight",1,02/03/2020,02/20/2020,Internet
TLRD,Pipe bottom,1,02/03/2020,02/10/2020,Retail (Special Lines)
AEIS,"Double Bottom, Adam and Adam",1,02/03/2020,02/10/2020,Semiconductor
AMD,Pipe bottom,1,01/27/2020,02/03/2020,Semiconductor
ALRM,"Double Bottom, Adam and Adam",1,02/03/2020,02/07/2020,Computer Software and Svcs
ANTM,Pipe bottom,1,01/27/2020,02/03/2020,Medical Services
AMAT,Pipe bottom,1,01/27/2020,02/03/2020,Semiconductor Cap Equip.
